sigma:0,sigma:1,sigma:2,sigma:3,sigma:4,sigma:5,arc_length,Points:0,Points:1,Points:2
4.39E+06,3.51E+06,2.38E+06,3.14E+06,-1.80E-09,5.11E-10,0.4475,0,0.9475,0
4.18E+06,3.45E+06,2.29E+06,3.15E+06,-1.82E-09,5.38E-10,0.448,0,0.948,0
3.97E+06,3.39E+06,2.21E+06,3.15E+06,-1.83E-09,5.66E-10,0.4485,0,0.9485,0
3.77E+06,3.33E+06,2.13E+06,3.15E+06,-1.84E-09,5.93E-10,0.449,0,0.949,0
3.56E+06,3.26E+06,2.05E+06,3.16E+06,-1.86E-09,6.21E-10,0.4495,0,0.9495,0
3.35E+06,3.20E+06,1.96E+06,3.16E+06,-1.87E-09,6.48E-10,0.45,0,0.95,0
3.20E+06,3.17E+06,1.92E+06,3.13E+06,-1.85E-09,6.69E-10,0.4505,0,0.9505,0
3.06E+06,3.14E+06,1.87E+06,3.10E+06,-1.83E-09,6.90E-10,0.451,0,0.951,0
2.92E+06,3.11E+06,1.82E+06,3.06E+06,-1.81E-09,7.11E-10,0.4515,0,0.9515,0
2.77E+06,3.08E+06,1.78E+06,3.03E+06,-1.79E-09,7.32E-10,0.452,0,0.952,0
2.63E+06,3.04E+06,1.73E+06,3.00E+06,-1.78E-09,7.53E-10,0.4525,0,0.9525,0
2.49E+06,3.01E+06,1.68E+06,2.97E+06,-1.76E-09,7.74E-10,0.453,0,0.953,0
2.34E+06,2.98E+06,1.64E+06,2.94E+06,-1.74E-09,7.94E-10,0.4535,0,0.9535,0
2.20E+06,2.95E+06,1.59E+06,2.91E+06,-1.72E-09,8.15E-10,0.454,0,0.954,0
2.05E+06,2.92E+06,1.54E+06,2.87E+06,-1.70E-09,8.36E-10,0.4545,0,0.9545,0
1.91E+06,2.88E+06,1.50E+06,2.84E+06,-1.68E-09,8.57E-10,0.455,0,0.955,0
1.77E+06,2.85E+06,1.45E+06,2.81E+06,-1.66E-09,8.78E-10,0.4555,0,0.9555,0
1.62E+06,2.82E+06,1.40E+06,2.78E+06,-1.64E-09,8.99E-10,0.456,0,0.956,0
1.48E+06,2.79E+06,1.36E+06,2.75E+06,-1.63E-09,9.20E-10,0.4565,0,0.9565,0
1.33E+06,2.76E+06,1.31E+06,2.72E+06,-1.61E-09,9.41E-10,0.457,0,0.957,0
1.19E+06,2.72E+06,1.26E+06,2.69E+06,-1.59E-09,9.62E-10,0.4575,0,0.9575,0
1.05E+06,2.69E+06,1.22E+06,2.65E+06,-1.57E-09,9.83E-10,0.458,0,0.958,0
9.02E+05,2.66E+06,1.17E+06,2.62E+06,-1.55E-09,1.00E-09,0.4585,0,0.9585,0
7.58E+05,2.63E+06,1.13E+06,2.59E+06,-1.53E-09,1.02E-09,0.459,0,0.959,0
6.14E+05,2.60E+06,1.08E+06,2.56E+06,-1.51E-09,1.05E-09,0.4595,0,0.9595,0
4.70E+05,2.56E+06,1.03E+06,2.53E+06,-1.49E-09,1.07E-09,0.46,0,0.96,0
3.26E+05,2.53E+06,9.86E+05,2.50E+06,-1.48E-09,1.09E-09,0.4605,0,0.9605,0
1.82E+05,2.50E+06,9.39E+05,2.46E+06,-1.46E-09,1.11E-09,0.461,0,0.961,0
37952,2.47E+06,8.93E+05,2.43E+06,-1.44E-09,1.13E-09,0.4615,0,0.9615,0
-1.06E+05,2.43E+06,8.46E+05,2.40E+06,-1.42E-09,1.15E-09,0.462,0,0.962,0
-2.50E+05,2.40E+06,8.00E+05,2.37E+06,-1.40E-09,1.17E-09,0.4625,0,0.9625,0
-3.94E+05,2.37E+06,7.53E+05,2.34E+06,-1.38E-09,1.19E-09,0.463,0,0.963,0
-5.38E+05,2.34E+06,7.07E+05,2.31E+06,-1.36E-09,1.21E-09,0.4635,0,0.9635,0
-6.82E+05,2.31E+06,6.60E+05,2.27E+06,-1.35E-09,1.23E-09,0.464,0,0.964,0
-8.26E+05,2.27E+06,6.14E+05,2.24E+06,-1.33E-09,1.25E-09,0.4645,0,0.9645,0
-9.70E+05,2.24E+06,5.67E+05,2.21E+06,-1.31E-09,1.28E-09,0.465,0,0.965,0
-1.11E+06,2.21E+06,5.21E+05,2.18E+06,-1.29E-09,1.30E-09,0.4655,0,0.9655,0
-1.26E+06,2.18E+06,4.74E+05,2.15E+06,-1.27E-09,1.32E-09,0.466,0,0.966,0
-1.40E+06,2.15E+06,4.28E+05,2.12E+06,-1.25E-09,1.34E-09,0.4665,0,0.9665,0
-1.55E+06,2.11E+06,3.81E+05,2.09E+06,-1.23E-09,1.36E-09,0.467,0,0.967,0
-1.69E+06,2.08E+06,3.35E+05,2.05E+06,-1.21E-09,1.38E-09,0.4675,0,0.9675,0
-1.83E+06,2.05E+06,2.88E+05,2.02E+06,-1.20E-09,1.40E-09,0.468,0,0.968,0
-1.98E+06,2.02E+06,2.42E+05,1.99E+06,-1.18E-09,1.42E-09,0.4685,0,0.9685,0
-2.12E+06,1.99E+06,1.95E+05,1.96E+06,-1.16E-09,1.44E-09,0.469,0,0.969,0
-2.27E+06,1.95E+06,1.49E+05,1.93E+06,-1.14E-09,1.46E-09,0.4695,0,0.9695,0
-2.41E+06,1.92E+06,1.02E+05,1.90E+06,-1.12E-09,1.48E-09,0.47,0,0.97,0
-2.55E+06,1.89E+06,55568,1.86E+06,-1.10E-09,1.51E-09,0.4705,0,0.9705,0
-2.70E+06,1.86E+06,9051.6,1.83E+06,-1.08E-09,1.53E-09,0.471,0,0.971,0
-2.84E+06,1.83E+06,-37459,1.80E+06,-1.07E-09,1.55E-09,0.4715,0,0.9715,0
-2.98E+06,1.79E+06,-83976,1.77E+06,-1.05E-09,1.57E-09,0.472,0,0.972,0
-3.13E+06,1.76E+06,-1.30E+05,1.74E+06,-1.03E-09,1.59E-09,0.4725,0,0.9725,0
-3.27E+06,1.73E+06,-1.77E+05,1.71E+06,-1.01E-09,1.61E-09,0.473,0,0.973,0
-3.42E+06,1.70E+06,-2.24E+05,1.67E+06,-9.90E-10,1.63E-09,0.4735,0,0.9735,0
-3.56E+06,1.67E+06,-2.70E+05,1.64E+06,-9.72E-10,1.65E-09,0.474,0,0.974,0
-3.70E+06,1.63E+06,-3.17E+05,1.61E+06,-9.53E-10,1.67E-09,0.4745,0,0.9745,0
-3.85E+06,1.60E+06,-3.63E+05,1.58E+06,-9.34E-10,1.69E-09,0.475,0,0.975,0
-3.99E+06,1.57E+06,-4.10E+05,1.55E+06,-9.16E-10,1.71E-09,0.4755,0,0.9755,0
-4.14E+06,1.54E+06,-4.56E+05,1.52E+06,-8.97E-10,1.73E-09,0.476,0,0.976,0
-4.28E+06,1.51E+06,-5.03E+05,1.48E+06,-8.78E-10,1.76E-09,0.4765,0,0.9765,0
-4.42E+06,1.47E+06,-5.49E+05,1.45E+06,-8.60E-10,1.78E-09,0.477,0,0.977,0
-4.57E+06,1.44E+06,-5.96E+05,1.42E+06,-8.41E-10,1.80E-09,0.4775,0,0.9775,0
-4.71E+06,1.41E+06,-6.42E+05,1.39E+06,-8.22E-10,1.82E-09,0.478,0,0.978,0
-4.86E+06,1.38E+06,-6.89E+05,1.36E+06,-8.03E-10,1.84E-09,0.4785,0,0.9785,0
-5.00E+06,1.35E+06,-7.35E+05,1.33E+06,-7.85E-10,1.86E-09,0.479,0,0.979,0
-5.14E+06,1.31E+06,-7.82E+05,1.30E+06,-7.66E-10,1.88E-09,0.4795,0,0.9795,0
-5.29E+06,1.28E+06,-8.28E+05,1.26E+06,-7.47E-10,1.90E-09,0.48,0,0.98,0
-5.43E+06,1.25E+06,-8.75E+05,1.23E+06,-7.29E-10,1.92E-09,0.4805,0,0.9805,0
-5.58E+06,1.22E+06,-9.21E+05,1.20E+06,-7.10E-10,1.94E-09,0.481,0,0.981,0
-5.72E+06,1.19E+06,-9.68E+05,1.17E+06,-6.91E-10,1.96E-09,0.4815,0,0.9815,0
-5.86E+06,1.15E+06,-1.01E+06,1.14E+06,-6.73E-10,1.99E-09,0.482,0,0.982,0
-6.01E+06,1.12E+06,-1.06E+06,1.11E+06,-6.54E-10,2.01E-09,0.4825,0,0.9825,0
-6.15E+06,1.09E+06,-1.11E+06,1.07E+06,-6.35E-10,2.03E-09,0.483,0,0.983,0
-6.30E+06,1.06E+06,-1.15E+06,1.04E+06,-6.17E-10,2.05E-09,0.4835,0,0.9835,0
-6.44E+06,1.03E+06,-1.20E+06,1.01E+06,-5.98E-10,2.07E-09,0.484,0,0.984,0
-6.58E+06,9.93E+05,-1.25E+06,9.79E+05,-5.79E-10,2.09E-09,0.4845,0,0.9845,0
-6.73E+06,9.61E+05,-1.29E+06,9.48E+05,-5.61E-10,2.11E-09,0.485,0,0.985,0
-6.87E+06,9.29E+05,-1.34E+06,9.16E+05,-5.42E-10,2.13E-09,0.4855,0,0.9855,0
-7.02E+06,8.97E+05,-1.39E+06,8.85E+05,-5.23E-10,2.15E-09,0.486,0,0.986,0
-7.16E+06,8.65E+05,-1.43E+06,8.53E+05,-5.05E-10,2.17E-09,0.4865,0,0.9865,0
-7.30E+06,8.33E+05,-1.48E+06,8.21E+05,-4.86E-10,2.19E-09,0.487,0,0.987,0
-7.45E+06,8.01E+05,-1.53E+06,7.90E+05,-4.67E-10,2.22E-09,0.4875,0,0.9875,0
-7.59E+06,7.69E+05,-1.57E+06,7.58E+05,-4.48E-10,2.24E-09,0.488,0,0.988,0
-7.74E+06,7.37E+05,-1.62E+06,7.27E+05,-4.30E-10,2.26E-09,0.4885,0,0.9885,0
-7.88E+06,7.05E+05,-1.67E+06,6.95E+05,-4.11E-10,2.28E-09,0.489,0,0.989,0
-8.02E+06,6.73E+05,-1.71E+06,6.63E+05,-3.92E-10,2.30E-09,0.4895,0,0.9895,0
-8.17E+06,6.41E+05,-1.76E+06,6.32E+05,-3.74E-10,2.32E-09,0.49,0,0.99,0
-8.31E+06,6.09E+05,-1.81E+06,6.00E+05,-3.55E-10,2.34E-09,0.4905,0,0.9905,0
-8.45E+06,5.77E+05,-1.85E+06,5.69E+05,-3.36E-10,2.36E-09,0.491,0,0.991,0
-8.60E+06,5.45E+05,-1.90E+06,5.37E+05,-3.18E-10,2.38E-09,0.4915,0,0.9915,0
-8.74E+06,5.13E+05,-1.94E+06,5.05E+05,-2.99E-10,2.40E-09,0.492,0,0.992,0
-8.89E+06,4.81E+05,-1.99E+06,4.74E+05,-2.80E-10,2.42E-09,0.4925,0,0.9925,0
-9.03E+06,4.49E+05,-2.04E+06,4.42E+05,-2.62E-10,2.45E-09,0.493,0,0.993,0
-9.17E+06,4.17E+05,-2.08E+06,4.11E+05,-2.43E-10,2.47E-09,0.4935,0,0.9935,0
-9.32E+06,3.84E+05,-2.13E+06,3.79E+05,-2.24E-10,2.49E-09,0.494,0,0.994,0
-9.46E+06,3.52E+05,-2.18E+06,3.48E+05,-2.06E-10,2.51E-09,0.4945,0,0.9945,0
