"sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","arc_length","Points:0","Points:1","Points:2"
-1.2788e+08,-1.0105e+07,2.0938e+07,2.6505e+05,-3.0644e-09,-1.3657e-08,0.0585,0,0.5585,0
-1.2669e+08,-1.0012e+07,2.1288e+07,2.3228e+05,-3.2079e-09,-1.3851e-08,0.059,0,0.559,0
-1.2549e+08,-9.918e+06,2.1638e+07,1.9952e+05,-3.3515e-09,-1.4045e-08,0.0595,0,0.5595,0
-1.243e+08,-9.8244e+06,2.1988e+07,1.6675e+05,-3.495e-09,-1.4239e-08,0.06,0,0.56,0
-1.2311e+08,-9.7308e+06,2.2338e+07,1.3398e+05,-3.6386e-09,-1.4433e-08,0.0605,0,0.5605,0
-1.2191e+08,-9.6371e+06,2.2688e+07,1.0122e+05,-3.7821e-09,-1.4627e-08,0.061,0,0.561,0
-1.2072e+08,-9.5435e+06,2.3038e+07,68448,-3.9257e-09,-1.4821e-08,0.0615,0,0.5615,0
-1.1953e+08,-9.4499e+06,2.3388e+07,35684,-4.0692e-09,-1.5015e-08,0.062,0,0.562,0
-1.1833e+08,-9.3562e+06,2.3738e+07,2916.7,-4.2128e-09,-1.5209e-08,0.0625,0,0.5625,0
-1.1714e+08,-9.2626e+06,2.4088e+07,-29851,-4.3563e-09,-1.5403e-08,0.063,0,0.563,0
-1.1595e+08,-9.169e+06,2.4438e+07,-62615,-4.4998e-09,-1.5597e-08,0.0635,0,0.5635,0
-1.1475e+08,-9.0753e+06,2.4787e+07,-95383,-4.6434e-09,-1.5791e-08,0.064,0,0.564,0
-1.1356e+08,-8.9817e+06,2.5137e+07,-1.2815e+05,-4.7869e-09,-1.5985e-08,0.0645,0,0.5645,0
-1.1237e+08,-8.8881e+06,2.5487e+07,-1.6091e+05,-4.9305e-09,-1.6179e-08,0.065,0,0.565,0
-1.1117e+08,-8.7944e+06,2.5837e+07,-1.9368e+05,-5.074e-09,-1.6373e-08,0.0655,0,0.5655,0
-1.0998e+08,-8.7008e+06,2.6187e+07,-2.2645e+05,-5.2176e-09,-1.6567e-08,0.066,0,0.566,0
-1.0879e+08,-8.6072e+06,2.6537e+07,-2.5921e+05,-5.3611e-09,-1.6761e-08,0.0665,0,0.5665,0
-1.0759e+08,-8.5135e+06,2.6887e+07,-2.9198e+05,-5.5047e-09,-1.6955e-08,0.067,0,0.567,0
